Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen
2026-09-24 15:17:13,detikNews,Berita & Peristiwa,Kecelakaan 2 Mobil di Tol Tambun Arah Jakarta - Lalin Macet 2 Km,https://news.detik.com/berita/d-8676559/kecelakaan-2-mobil-di-tol-tambun-arah-jakarta-lalin-macet-2-km,Negatif,-100.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional 5 jam lalu Sidang Eksepsi - Roy Suryo Minta Dakwaan Kasus Ijazah Jokowi Dibatalkan,https://www.inews.id/news/nasional/sidang-eksepsi-roy-suryo-minta-dakwaan-kasus-ijazah-jokowi-dibatalkan,Negatif,-100.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,KPK Geledah Kantor BPN Kota Mojokerto - Temukan Amplop Berisi Uang,https://www.liputan6.com/news/read/8298802/kpk-geledah-kantor-bpn-kota-mojokerto-temukan-amplop-berisi-uang,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Teka Teki Pemilik Alphard dan Fortuner di Lapas Cibinong,https://www.liputan6.com/news/read/8298801/teka-teki-pemilik-alphard-dan-fortuner-di-lapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,DPR Desak Menteri Imipas Tindak Tegas Kalapas Cibinong,https://www.liputan6.com/news/read/8298794/dpr-desak-menteri-imipas-tindak-tegas-kalapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Detik-Detik Penumpang Melahirkan di KRL Green Line,https://www.liputan6.com/news/read/8298790/detik-detik-penumpang-melahirkan-di-krl-green-line,Negatif,-20.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Momen Kaki Pegawai Ombudsman Terjepit Saat Sidak Lapas Cibinong,https://www.liputan6.com/news/read/8298778/momen-kaki-pegawai-ombudsman-terjepit-saat-sidak-lapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Ombudsman Beberkan Dasar Hukum dan Alasan Sidak ke Lapas Cibinong,https://www.liputan6.com/news/read/8298773/ombudsman-beberkan-dasar-hukum-dan-alasan-sidak-ke-lapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Pengadilan Tinggi Jakarta Pangkas Hukuman Nadiem Makarim jadi 9 Tahun,https://www.liputan6.com/news/read/8298767/pengadilan-tinggi-jakarta-pangkas-hukuman-nadiem-makarim-jadi-9-tahun,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Kabasarnas Pastikan Pencarian Rombongan Jurnalis Hilang Kontak Tetap Berlanjut,https://www.liputan6.com/news/read/8298763/kabasarnas-pastikan-pencarian-rombongan-jurnalis-hilang-kontak-tetap-berlanjut,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Ditjenpas Jabar Soal Kamar Mewah di Lapas Cibinong: Itu Rumah Dinas,https://www.liputan6.com/news/read/8298753/ditjenpas-jabar-soal-kamar-mewah-di-lapas-cibinong-itu-rumah-dinas,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Kronologi Ombudsman Temukan Fasilitas Mewah di Lapas Cibinong,https://www.liputan6.com/news/read/8298728/kronologi-ombudsman-temukan-fasilitas-mewah-di-lapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Ironi Tulisan Zona Integritas di Lapas Cibinong,https://www.liputan6.com/news/read/8298694/ironi-tulisan-zona-integritas-di-lapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Ada Hunian Mewah Tipe Suite hingga Deluxe di Lapas Cibinong,https://www.liputan6.com/news/read/8298695/ada-hunian-mewah-tipe-suite-hingga-deluxe-di-lapas-cibinong,Positif,60.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Komisi XIII Segera Panggil Pejabat Terkait soal Fasilitas Mewah Lapas Cibinong,https://www.liputan6.com/news/read/8298702/komisi-xiii-segera-panggil-pejabat-terkait-soal-fasilitas-mewah-lapas-cibinong,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Prabowo Panggil Sejumlah Ahli Bahas Mitigasi Kebakaran Hutan,https://www.liputan6.com/news/read/8298680/prabowo-panggil-sejumlah-ahli-bahas-mitigasi-kebakaran-hutan,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Prabowo Teken Perpres Tata Kelola Kopdes Merah Putih,https://www.liputan6.com/news/read/8298048/prabowo-teken-perpres-tata-kelola-kopdes-merah-putih,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Danantara Kaji Permintaan Prabowo Perpanjang LRT hingga JIS,https://www.liputan6.com/news/read/8297329/danantara-kaji-permintaan-prabowo-perpanjang-lrt-hingga-jis,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Prabowo Panggil Dirjen Bea Cukai ke Istana - Bahas Apa?,https://www.liputan6.com/news/read/8297111/prabowo-panggil-dirjen-bea-cukai-ke-istana-bahas-apa,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Temuan Lain di Lapas Cibinong: Akses Keluar-Masuk Tanpa Pagar dan 2 Mobil Mewah,https://www.liputan6.com/news/read/8298667/temuan-lain-di-lapas-cibinong-akses-keluar-masuk-tanpa-pagar-dan-2-mobil-mewah,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Penampakan Fasilitas Mewah di Lapas Cibinong - Berbentuk Homestay dan Mirip Cluster,https://www.liputan6.com/news/read/8298664/penampakan-fasilitas-mewah-di-lapas-cibinong-berbentuk-homestay-dan-mirip-cluster,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Polda Metro Buka Suara soal Pengajuan Pensiun Dini Ipda Yayat,https://www.liputan6.com/news/read/8298641/polda-metro-buka-suara-soal-pengajuan-pensiun-dini-ipda-yayat,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Eks Ketua Ombudsman Hery Susanto Dituntut 5 -5 Tahun Penjara,https://www.liputan6.com/news/read/8298633/eks-ketua-ombudsman-hery-susanto-dituntut-55-tahun-penjara,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Mayat Tanpa Identitas Ditemukan di Mukomuko Bengkulu,https://www.liputan6.com/news/read/8298606/mayat-tanpa-identitas-ditemukan-di-mukomuko-bengkulu,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Yusril Minta Ombudsman Blak-blakan Temuan Lapas Mewah: Jangan Ada Dusta di Antara Kita,https://www.liputan6.com/news/read/8298583/yusril-minta-ombudsman-blak-blakan-temuan-lapas-mewah-jangan-ada-dusta-di-antara-kita,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Bebas Bersyarat Bechi Disorot - Yusril Beri Penjelasan,https://www.liputan6.com/news/read/8298560/bebas-bersyarat-bechi-disorot-yusril-beri-penjelasan,Positif,100.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Yusril Ancam Sanksi Pegawai Lapas Cibinong jika Terbukti Sediakan Fasilitas Mewah,https://www.liputan6.com/news/read/8298551/yusril-ancam-sanksi-pegawai-lapas-cibinong-jika-terbukti-sediakan-fasilitas-mewah,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,Nadiem Singgung soal Keadilan Jelang Sidang Putusan Banding,https://www.liputan6.com/news/read/8298533/nadiem-singgung-soal-keadilan-jelang-sidang-putusan-banding,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,DPR: Temuan Fasilitas Mewah Lapas Cibinong Harus Ditindaklanjuti,https://www.liputan6.com/news/read/8298530/dpr-temuan-fasilitas-mewah-lapas-cibinong-harus-ditindaklanjuti,Netral,0.0
2026-09-24 15:17:13,Liputan6 News,Hukum & Politik,DPR Panggil Menteri Imipas hingga Kalapas Cibinong Soal Fasilitas Mewah,https://www.liputan6.com/news/read/8298799/dpr-panggil-menteri-imipas-hingga-kalapas-cibinong-soal-fasilitas-mewah,Netral,0.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional 5 jam lalu Menguji Parliamentary Threshold 5%,https://www.inews.id/news/nasional/menguji-parliamentary-threshold-5,Netral,0.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional Istana Minta Buruh Demo dengan Tertib: Mari Kita Jaga Kekondusifan,https://www.inews.id/news/nasional/istana-minta-buruh-demo-dengan-tertib-mari-kita-jaga-kekondusifan,Negatif,-100.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional 4 jam lalu KSAL Ungkap Makna Nama Kapal Induk KRI Sriwijaya - Apa Itu?,https://www.inews.id/news/nasional/ksal-ungkap-makna-nama-kapal-induk-kri-sriwijaya-apa-itu,Netral,0.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional Kabar Baik! Pendidikan Gratis Berlaku di Madrasah Negeri,https://www.inews.id/news/nasional/kabar-baik-pendidikan-gratis-berlaku-di-madrasah-negeri,Positif,100.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional 5 menit lalu Dasco: RUU Pelindungan Ketenagakerjaan Ditargetkan Rampung Oktober 2026,https://www.inews.id/news/nasional/dasco-ruu-pelindungan-ketenagakerjaan-ditargetkan-rampung-oktober-2026,Netral,0.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional 10 menit lalu Hakim Bagi Beban Uang Pengganti Kasus Chromebook: Nadiem 35% - Google 50% - Korporasi 15%,https://www.inews.id/news/nasional/hakim-bagi-beban-uang-pengganti-kasus-chromebook-nadiem-35-google-50-korporasi-15,Negatif,-100.0
2026-09-24 15:17:13,iNews Nasional,Peristiwa & Hukum,Nasional 25 menit lalu Ombudsman Sebut Fasilitas Mewah di Lapas Cibinong Dikomersialisasi - Napi Harus Bayar,https://www.inews.id/news/nasional/ombudsman-sebut-fasilitas-mewah-di-lapas-cibinong-dikomersialisasi-napi-harus-bayar,Netral,0.0
