Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen
2026-09-26 10:37:58,Wolipop,Headline,"Kontroversi Robot Humanoid Tampil di Fashion Show, Banjir Kritik",https://wolipop.detik.com/fashion-news/d-8679897/kontroversi-robot-humanoid-tampil-di-fashion-show-banjir-kritik,Negatif,-100.0
2026-09-26 10:37:58,Wolipop,Headline,"Maudy Koesnaedi Recreate Foto Nikah 25 Tahun Lalu, Parasnya Bak Tak Menua",https://wolipop.detik.com/foto-entertainment/d-8679366/maudy-koesnaedi-recreate-foto-nikah-25-tahun-lalu-parasnya-bak-tak-menua,Netral,0.0
2026-09-26 10:37:58,Wolipop,Headline,"Wajah Asli Amanda Rigby Sebelum Makeup Pengantin Curi Atensi, Cantik Alami",https://wolipop.detik.com/makeup-and-skincare/d-8679325/wajah-asli-amanda-rigby-sebelum-makeup-pengantin-curi-atensi-cantik-alami,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,"Video: Kabar Duka! Adik Arie Kriting, Amal Buton Meninggal",https://20.detik.com/detikupdate/20260925-260925067/video-kabar-duka-adik-arie-kriting-amal-buton-meninggal?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,Video: Berburu Merch Konser The Weeknd di Blok M! Ada Apa Aja?,https://20.detik.com/detikupdate/20260925-260925017/video-berburu-merch-konser-the-weeknd-di-blok-m-ada-apa-aja?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,Video: Saat Tenun Baduy Disulap Jadi Baju Avant-Garde!,https://20.detik.com/detikupdate/20260925-260925014/video-saat-tenun-baduy-disulap-jadi-baju-avant-garde?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,Mau Belanja Hemat-Diskon Berlimpah? Pakai Allo Paylater!,https://20.detik.com/promo/20260925-260925010/mau-belanja-hemat-diskon-berlimpah-pakai-allo-paylater?from=wolipop&source=keyword-kanal-wolipop,Positif,100.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,"Video: Demian Mangkir, Sidang Cerai dengan Sara Wijayanto Ditunda 8 Oktober",https://20.detik.com/detikupdate/20260924-260924058/video-demian-mangkir-sidang-cerai-dengan-sara-wijayanto-ditunda-8-oktober?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,Video Alasan Taylor Swift Dapat Penghargaan Artist Director Honors di VMA,https://20.detik.com/detikupdate/20260924-260924016/video-alasan-taylor-swift-dapat-penghargaan-artist-director-honors-di-vma?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,"Video: Bedah Lipstik Harga Rp 1,3 Juta, Apa yang Bikin Spesial?",https://20.detik.com/detikupdate/20260924-260924014/video-bedah-lipstik-harga-rp-1-3-juta-apa-yang-bikin-spesial?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,"Cukup Pakai Allo Paylater, Kamu Bisa Belanja Hemat-Banyak Diskon",https://20.detik.com/promo/20260924-260924007/cukup-pakai-allo-paylater-kamu-bisa-belanja-hemat-banyak-diskon?from=wolipop&source=keyword-kanal-wolipop,Positif,100.0
2026-09-26 10:37:58,Wolipop,Box Woliflash,Video: Pestapora 2026 Hadirkan 330 Penampil Selama 3 Hari,https://20.detik.com/detikupdate/20260923-260923058/video-pestapora-2026-hadirkan-330-penampil-selama-3-hari?from=wolipop&source=keyword-kanal-wolipop,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Artikel Terbaru,"Ha Young Resmj Digantikan Yein Lovelyz, Bintangi The Trauma Code Season 2",https://wolipop.detik.com/entertainment-news/d-8679844/ha-young-resmj-digantikan-yein-lovelyz-bintangi-the-trauma-code-season-2,Netral,0.0
