Waktu Tarik,Wilayah,Sumber,Topik / Kata Kunci,Volume Pencarian,Judul Berita,URL,Sentimen,Skor Sentimen
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Viral di FYP Mix Brazil x Thailand Jadi Racun Baru Playlist Wajib Gen Z,Trending Sosmed,Viral di FYP Mix Brazil x Thailand Jadi Racun Baru Playlist Wajib Gen Z,https://news.google.com/rss/articles/CBMiywFBVV95cUxNOXJkVWIzYl9zdVYwYl9mMVNNQ05sU0RPVERvdld0bVB1cC1tandDWkNZUzljSnViRDlBWUhLT0hWZ1ZMOFRGNkZ6d3ZnZUx5YXEtcTQ2Y1pNZU1aUVdkQm1rbTdWaENPQVg5d3RPREMwWnBKem4zdkd1cVUxVEFBWFJ2b01hTExwclFaX2F1R2tWaWtTbmtheERQd0k0b2JjZVJKeGR5VlNxblV3SmFpbE5WaF9kVmVrS2MtTFNJQjFaOXA1N3llU1RFQdIBywFBVV95cUxNOXJkVWIzYl9zdVYwYl9mMVNNQ05sU0RPVERvdld0bVB1cC1tandDWkNZUzljSnViRDlBWUhLT0hWZ1ZMOFRGNkZ6d3ZnZUx5YXEtcTQ2Y1pNZU1aUVdkQm1rbTdWaENPQVg5d3RPREMwWnBKem4zdkd1cVUxVEFBWFJ2b01hTExwclFaX2F1R2tWaWtTbmtheERQd0k0b2JjZVJKeGR5VlNxblV3SmFpbE5WaF9kVmVrS2MtTFNJQjFaOXA1N3llU1RFQQ?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Dermatolog Ungkap 3 Fakta Mengejutkan di Balik Diet TikTok yang Viral untuk Hilangkan Jerawat - Ini Risikonya,Trending Sosmed,Dermatolog Ungkap 3 Fakta Mengejutkan di Balik Diet TikTok yang Viral untuk Hilangkan Jerawat - Ini Risikonya,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOX2NOeUJxRG94b3VjTnZnTEVCdmhVTjBidU5XaVZsN0VEYzBSazh5ZG9YMUtOT2o3ZzBJVVlKSDJmdEh6TTRnam4yZzFhNlJlRTFxa2IyeVExdUFWcTRDWTE0d1pJdWF4US1HejNST3FIeTk3OXI2ZVI2SjItWXRYMHlKQmhYZ0UwMkZsaksxcldBejFka1FReXMxT295OGRBeTJZTkttNnFDbzU2Ykd2M2hQVUl5QmtfeldwZmhpeGpXa184VDhpMTh1VXRxRTJ2Zmd0eFUwaEFjdw?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Ngaku Bertemu Allah dan Dicium Rasulullah - Pemilik Akun Tiktok @kyai.padepokan86 Dilaporkan ke Polisi,Trending Sosmed,Ngaku Bertemu Allah dan Dicium Rasulullah - Pemilik Akun Tiktok @kyai.padepokan86 Dilaporkan ke Polisi,https://news.google.com/rss/articles/CBMixwFBVV95cUxQdElxeHoyeEM4dGwtZFNxUWpJbU9EU0JtOTctWVE0NG1iRDhMVEVhdlhDZHY0V3ptTExud0RsVkJXbTcydFhvV25nLWx4VjQxQzA2LTMydVNjMEdPT28tNTF2VGRqeHZlNHhrQnRabHpzdVZHV3JLaEREcUYza19VbG5CenhVRFRTOVJFSkoydXRrbTlTTGxyMFc1YVgyQ1F6YjdVQzNZNk0wV1FjNEUxTjBEWk9yd1RTYTJ0aW0zTXA5dDhtUGpr?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Viral Diet Bebas Jerawat di TikTok - Dokter Kulit Ungkap Fakta Sebenarnya!,Trending Sosmed,Viral Diet Bebas Jerawat di TikTok - Dokter Kulit Ungkap Fakta Sebenarnya!,https://news.google.com/rss/articles/CBMirAFBVV95cUxNMHJJTmdhcXZiMVFKMzNfWEQ1OC0wN3FiM1dCbDlIWUlwNzdyVl82TWczWFhJQzcwb0hXZFhYNkJuLWl3N0NjT25nbE5QS1hyU1ZqRS1kRURoNzNGOE1kcWk5MFBTcU55TG9BOWIxRWEwQUp3cHh2OUljT2RYWWJ4NDEwaHI1dllUcFY5ZFBMck1ZZGcwNk1OMDROOFZhWjk2NnRGMWhhSWY5cVhp?oc=5,Positif,100.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Gimana Cara Mengintip Story TikTok Tanpa Ketahuan? Pakai Trik Alternatif Ini Saja!,Trending Sosmed,Gimana Cara Mengintip Story TikTok Tanpa Ketahuan? Pakai Trik Alternatif Ini Saja!,https://news.google.com/rss/articles/CBMixAFBVV95cUxOVVBXY3ZZTktQbXd5RkJmd3RtaXdySVFyRHNqbVFUWGxYdzFtRHFxVzJQbGh0bjJfamF1NXpBQUl2Mnh6N3hqSjB3enFXTVJEd1FaZk1jMHdUTHRKM0VxX2pXQzRGbU5LV2JHc0RWTkcwRTBMU3JlVjdOQmtJTkdWM1hMTjRic1dvYWM0S2E0M2M2SkhWQ1NPd2NmYnMzam5HcXJqZ1pyMF96MU96QUtmZ082Vldzd1hKX0ZqbGxpMi1GZHYt0gHEAUFVX3lxTE5VUFdjdllOS1Btd3lGQmZ3dG1pd3JJUXJEc2ptUVRYbFh3MW1EcXFXMlBsaHRuMl9qYXU1ekFBSXYyeHo3eGpKMHd6cVdNUkR3UVpmTWMwd1RMdEozRXFfaldDNEZtTktXYkdzRFZORzBFMExTcmVWN05Ca0lOR1YzWExONGJzV29hYzRLYTQzYzZKSFZDU093Y2ZiczNqbkdxcmpnWnIwX3oxT3pBS2ZnTzZWV3N3WEpfRmpsbGkyLUZkdi0?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),PKKMB Unigoro 2026 Raih Jutaan Viewers di Tiktok - Makin Dekat dengan Masyarakat Lewat Konten Kreatif dan Narasumber Inspiratif,Trending Sosmed,PKKMB Unigoro 2026 Raih Jutaan Viewers di Tiktok - Makin Dekat dengan Masyarakat Lewat Konten Kreatif dan Narasumber Inspiratif,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPYXNUMVRpZGpZUVl2dXF2bHJtRExFLTJhc2gyQldJZ25WREF5YmlpaGtoRzcxcm8wSWdyVEhGRlhOa1ZXYU56NzZKRzM0R25LWGNlZDdJcExLV2lfTEFxUTdQNFdmUU82QXVQOERmMUJtTG5DUW5hdEo5dkJtc0hGYm1WZlZvZ0VXSXp6NzdRLTJSYW12eEVRY010NndSLVdJaFpDRlk0YjlKQ3M0aHdSaXdLTFNUaUtWZVNyRENkSlN3UkFFN0RmRDR0YWtrazl5cjRUcWhtYllEMnRuMWdiTW1oVEtSTVgtb1E?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Pria di Jember Dilaporkan Dugaan Penistaan Agama,Trending Sosmed,Pria di Jember Dilaporkan Dugaan Penistaan Agama,https://news.google.com/rss/articles/CBMifEFVX3lxTFBYaEdmcV9IaFZrV0g0elc5TXRZTEl4SUxUVVZTTkZXMW1UVjB2OVA4ellfYlRlWDdkVkhtSWJ0T29mVVVxODIwUWs5QVprM0QzMmtLeVByZkV5VWUxZncyUjFxZ2xObGZQc0x5YTNuYmNWczdveXNtNFF4dkk?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Viral Diklaim Bersama Istri Muda di Sukabumi - Polisi Tegaskan ASN Bogor Masih Hilang,Trending Sosmed,Viral Diklaim Bersama Istri Muda di Sukabumi - Polisi Tegaskan ASN Bogor Masih Hilang,https://news.google.com/rss/articles/CBMizwFBVV95cUxNREUtWlpJLXBMSUhBSWdFU2JSazBHWXNOOUFYeWZNNnl1ZUpyb3l1czgxRnBtZm5uc0pfZEZzdFJDZ1h1SGQ2NGl4WWNMUFNMcHdFMkNQYmYxaVJQbDY0dGJtSWFLdkZfNXRMcWYwTU9hdzRMUnN4bG5Kb3JPN1VQeEFfV0RBc0t0NWZZNkkzemc3T2ZSZXBBTjhfWHoyTHZrT0pkeUdpTUdCZDNQZWhKUWcwU21QN2VodV91VWFRTTVDRG55dVROV0wwOXNTQTjSAc8BQVVfeXFMTURFLVpaSS1wTElIQUlnRVNiUmswR1lzTjlBWHlmTTZ5dWVKcm95dXM4MUZwbWZubnNKX2RGc3RSQ2dYdUhkNjRpeFljTFBTTHB3RTJDUGJmMWlSUGw2NHRibUlhS3ZGXzV0THFmME1PYXc0TFJzeGxuSm9yTzdVUHhBX1dEQXNLdDVmWTZJM3pnN09mUmVwQU44X1h6Mkx2a09KZHlHaU1HQmQzUGVoSlFnMFNtUDdlaHVfdVVhUU01Q0RueXVUTldMMDlzU0E4?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),Lirik Lagu Lu Kenal Veronica Ko? atau Veronica Bluetooth Viral di TikTok - Lengkap dengan Artinya,Trending Sosmed,Lirik Lagu Lu Kenal Veronica Ko? atau Veronica Bluetooth Viral di TikTok - Lengkap dengan Artinya,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNNVFJV3FNOXRmeWlXWTA3cnA4VldZT2x1M3R1S1RrZVBhRy1STnlFMGdoYnNqaXZRTHpUSE5DUmhqRktvcUR3aGZNZ1AzdkpxbGxoTGp2bDJ3YUM1OXZjMndISmhNZ2xIV2tlLTBWeEpXWk9NVmpSOFF6dVg5UkMzNGJhNG9pdDNiMkpaYUFBUXBNOGVTSW43QkRSRm5kamJlaGc0Z2owRHJwelgxemZ3dTZSWUMyY1hxT2pudEs1NndDeGVoblZZZ0pHMXgzbHlQX0E?oc=5,Netral,0.0
2026-09-22 10:24:33,Indonesia,TikTok Trending (News),TikTok dan Akun IG Takim Official Apa? Konten Video Boneka di Jalan Tunjungan Surabaya Viral Tuai Pro Kontra - Jatim Network,Trending Sosmed,TikTok dan Akun IG Takim Official Apa? Konten Video Boneka di Jalan Tunjungan Surabaya Viral Tuai Pro Kontra - Jatim Network,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQR2RXMVdLX0dtSWxGWlR6eTFjemU4Njk4U0YxeWF5ZjBDdGc2WHFiSDdqbGVxcjJjZEFhYlIwci0tZHJOcmNDbUhpUzRvSC1QSmZFTDhob25DdDMtZ1I0TElfcUJtcFZzN0gwaTJxWTlMMnltMlNTc1dEUnhFaFpHWEFQMVJWUnZUUmZFdmMxdzZFamprbVZ6NkpoU2QxUXM4d253a2xyTDRIeWoxTzZMRHdjSTBhbVdnU1Y2TE04YTlHYUJGVDU5dnZyM3RrR0hQNmVVUk1uTkRDU2xJclNEcWI1WE1RNUU2ejlhLUVtZmJSd9IB9wFBVV95cUxQdFcteTdJOUFaa0RsbC1LbVJoMjJyWTB6TWhESjlWZjdoX1pNTlRjVE9CaVRpdDBZaUlaUmxPVm55dFlLSEpZLVRKZlkwYXg4QVd0SWhkakNUcUVQVkVyb2dqRkl6bHlDYnJibW80ZWJpWGdRcVRBQndPemdpTzZ1dlJacExmb01mS3daYXp1TVhFa0VkRHpKWHpnTzlYV3FldWRLODZIdjZJZEVzbzhDWXJ5LWl6cmVjUVpwY3V2cXZCSlVBdHRLWDNKc0NYOGZTTWVtWUl0QzVoS3VyVjAwUzJMMjhsYmtEcFNyT091TjdsWVZjUU1Z?oc=5,Netral,0.0
