Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen,Wilayah,Topik / Kata Kunci,Volume Pencarian,Judul Berita
2026-09-08 02:19:39,Google Trends ID,,,https://www.goal.com/en-in/news/injured-in-the-warm-up-a-sudden-injury-rules-yassine-bounou-out-of-the-al-hilal-v-neom-match/blt0b1226cecf18fce4,Netral,0.0,Indonesia,al hilal,500+,Injured in the warm-up: a sudden injury rules Yassine Bounou out of the Al-Hilal v Neom match
2026-09-08 02:29:38,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQSnVkRmR5ajhEVHBCUzYyNy1oVEFEd0pQaEJYdHcxNTVHZDRwVnFmT3ZDeXdibzl0Q3FHYlNsVl9hSFVraGdkckZzY2ZHSVF1MWlaX2dsYmpvMHUwVGNPVVdyWlZrV0hfQ2dCRHJ5Y2Q2Ui1CLTBwYUVFU2RTVDY0WFVBOGluRlJ3S3BVYjdILWN6dWUwWllaZTBtbTNwVzliMWE3R09vb1EyMXZnRVM0NGpFdVVta3RzdTdjX0VKRklEQdIBrgFBVV95cUxNRFBNdExmY2hfT3hNTV9EUkpkcEx5elRUZVdJUndfLXhobEFJQ0l0QjIwcDZLVWJGNUVNam4zZWpvUmJPRnR4eFdWVHVsU1FCOHZ5cEhLWkZ4U1c0YXBjc2RFY1h1dXNHMzVpc1NxZlNJU0VsSHJsTWxzYzhkbnlGcXdWdHpfT1FNakExTjI5WVBCRFhVM0wzb1RVbS1yQXlFNEFBTnBXVHFfNnlHemc?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Makeup Ala Naykilla Ramai Ditiru, Apakah Akan Menjadi Tren Kecantikan Baru? - radartv.disway.id"
2026-09-08 02:29:38,X (Twitter) Trending,,,https://x.com/search?q=Senin&src=trend_click,Netral,0.0,Indonesia,Senin,Trending di X,Trending Topic X Indonesia: Senin
2026-09-08 02:29:38,Google Trends ID,,,https://www.gazzetta.it/scommesse/comparazione-quote/06-09-2026/pronostico-palermo-samp-quote-serie-b-3-giornate-79194.shtml,Netral,0.0,Indonesia,palermo vs sampdoria,500+,Pronostico Palermo-Samp quote analisi 3ª giornata Serie B
2026-09-08 02:29:38,Google Trends ID,,,https://www.gazzetta.it/Calcio/Serie-A/Udinese/07-09-2026/udinese-lazio-live-risultato-e-gol-in-diretta-serie-a.shtml,Positif,13.64,Indonesia,udinese,200+,"LIVE Alle 20.45 Udinese-Lazio, le ufficiali: Runjaic punta su Davis, Gattuso con Frattesi e Isaksen"
2026-09-08 02:29:38,Google Trends ID,,,https://www.elchecf.es/noticias/el-martinez-valero-vivira-este-lunes-una-noche-muy-especial,Netral,0.0,Indonesia,elche vs real sociedad,1000+,El Martínez Valero vivirá este lunes una noche muy especial
2026-09-08 02:29:38,Google Trends ID,,,https://www.voiceofemirates.com/en/sport/2026/09/07/todays-matches-and-broadcast-channels-al-hilal-vs-neom-and-other-exciting-matches-in-the-egyptian-saudi-spanish-and-italian-leagues/,Netral,0.0,Indonesia,al hilal,500+,"Today's matches and broadcast channels: Al-Hilal vs. Neom, and other exciting matches in the Egyptian, Saudi, Spanish, and Italian leagues"
2026-09-08 02:29:38,Google Trends ID,,,https://inet.detik.com/consumer/d-8652738/harga-iphone-18-pro-dan-iphone-ultra-terungkap-jelang-peluncuran-berapa,Netral,0.0,Indonesia,iphone 18 pro max,200+,"Harga iPhone 18 Pro dan iPhone Ultra Terungkap Jelang Peluncuran, Berapa?"
2026-09-08 02:29:38,Google Trends ID,,,https://www.svt.se/sport/fotboll/liverapportering-allsvenskan-2026?inlagg=05c1ecacd8a15c11171b0fbaa924ad9b,Netral,0.0,Indonesia,allsvenskan,100+,Fotboll: Ett inlägg i ”Liverapportering: Allsvenskan 2026”
2026-09-08 02:29:38,Google Trends ID,,,https://sport.detik.com/sepakbola/bola-dunia/d-8653043/mo-salah-moncer-bikin-rekor-di-turki,Netral,0.0,Indonesia,liga turki,100+,"Mo Salah Moncer, Bikin Rekor di Turki"
2026-09-08 02:29:38,Google Trends ID,,,https://www.bbc.com/sport/football/live/c670lwlq2l12t,Netral,0.0,Indonesia,djurgardens,200+,Kalmar vs Djurgården: Swedish Allsvenskan stats & head-to-head
2026-09-08 02:29:38,Google Trends ID,,,https://sportsbook.fanduel.com/soccer/sweden---allsvenskan/mjallby-v-ifk-goteborg-36016199,Netral,0.0,Indonesia,mjallby,200+,Mjallby v IFK Goteborg Odds
2026-09-08 02:29:38,Google Trends ID,,,https://www.vietnam.vn/pt/nhan-dinh-estoril-vs-arouca-diem-nong-cuoc-dua-top-dau,Netral,0.0,Indonesia,estoril,200+,Previsão para Estoril x Arouca: Um confronto decisivo na principal corrida
2026-09-08 05:19:55,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMixAFBVV95cUxOT3R6TThzUU1PaXQ2RkdJM254dUtmdlNCSk1JeGhWVi1ZaWF1c2FHclNxU3FlWUlOckF0QV91dm5XV0hBWXBBT19OR2VnV0c4RHpPcmxTRDd4WVNqY0RiRHJLZ2NKNGNuUTRVRDJaeWxCN0tWQkxfLXQwRk1PSlJWdjhrMzBFYmR6TG5ETlRzekF3ZXItWFJYc0lScHM0RDR2Vm5mZnFGdV9XT1B3NW1abVU3YWJPV3pnWTV4VTNleWs2YnVB?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Lirik Lagu My Mine Gueh atau MMG oleh Naykilla, Viral di TikTok dengan Transisi Make Up"
2026-09-08 05:19:55,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMivgFBVV95cUxPekt6V0ltQnlnUVNvLUk4VFJ5dnZWeVRfVzZfbEZXZkRLTU9RMEttd2Q3SVFPLXVZaTRSbEFqRlJkejN3MWxMelRBRUhvajcxQ3VTOW5ZNUZxNFFjd1VSTWhxTHpPbTBqVzBad3NBbkdaWnpmYi15Y1VGNjhoVVNQZGpvd19HNVNXQ2RmMU5CaUthR2VEeTNkR1MzRVdPUFFFVGQxZGxxMWx0Z0Q0c3VFalpPUGgySGhFZDVrWm1n0gHDAUFVX3lxTFBoeS1ZY3J2cC10SzNHX19XMi0zbldMNnJWQ3pIVlcyS3ZMaElsdFVGVEFzSHpQMWRCTnFrV0JJQ2tzRDFBTklLcS1RWjNWN0hXMmMyUnNOdkRrb3NfU3lLMFYtb1NJRWYwQzN2LWp1UzRvN3lJaXY4SWhkREhYdDZsVVpZMTItdDdMd2NOQ2YxUGVBWk81c1dmRWFvOVNiM1B5Ni1ReGhVdmNMVmczN1kyY1pLa0FGRHczWGhsdWFTZnc0WQ?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,Polisi selidiki dugaan penipuan modus tawaran konten TikTok - Portal Lebak
2026-09-08 05:19:55,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQc2JqQUhvYXJ3NFhsSnFueGlJUjJlQlFtLVRScnI2NWZjZU1zbjlhNjg1eFlnU0VkTlVNcEpRblpydUQ3dFRMamQyVzhIbFBNRk41NU1YbmVZbnpRQlZ0RDdRQTRsNmI5b2dTelFlXzJ1UzBHcTN6R3VQNEpPTEM0Y1hqcG5aUGJ4UHFlc3ViZ2c3MTQwRWgwSzlTTHA0dUl2alJqSElxMUd4VHpFc2pFV0lzTEU3QUJyT3FILVA3X3hLVzNaWWtRbDNkcnF0RFlhM3FYbk5ETDV1OFJQLWVESnlIc0R6dHFDQUdhNHZITQ?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Selalu Berikan Pesan Positif, Selebgram Janda Berkelas di Banyuwangi Selalu Viral dengan Sikap Rendah Hati Serta Dermawan"
2026-09-08 05:19:55,X (Twitter) Trending,,,https://x.com/search?q=%23JossGawinFMinDC&src=trend_click,Netral,0.0,Indonesia,#JossGawinFMinDC,Trending di X,Trending Topic X Indonesia: #JossGawinFMinDC
2026-09-08 05:19:55,X (Twitter) Trending,,,https://x.com/search?q=GEMINI%20ART%20VENTURE%20FINALE&src=trend_click,Netral,0.0,Indonesia,GEMINI ART VENTURE FINALE,Trending di X,Trending Topic X Indonesia: GEMINI ART VENTURE FINALE
2026-09-08 05:19:55,Google Trends ID,,,https://www.bloomberglinea.com/latinoamerica/fenomeno-de-el-nino-2026-mapa-de-los-paises-mas-afectados-y-las-medidas-anunciadas/,Netral,0.0,Indonesia,el niño,100+,Fenómeno de El Niño 2026: mapa de los países más afectados y las medidas anunciadas
2026-09-08 05:19:55,Google Trends ID,,,https://wolipop.detik.com/fashion-news/d-8652575/bukan-cuma-naomi-osaka-gaya-berani-ibunya-juga-curi-atensi-di-us-open-2026,Netral,0.0,Indonesia,us open 2026,100+,"Bukan Cuma Naomi Osaka, Gaya Berani Ibunya Juga Curi Atensi di US Open 2026"
2026-09-08 05:19:55,Google Trends ID,,,https://www.itatiaia.com.br/esportes/futebol/futebol-nacional/futebol-do-sul/gremio/luis-castro-modifica-escalacao-do-gremio-para-encarar-vitoria-pelo-brasileiro/,Netral,0.0,Indonesia,vitoria ba,100+,Luís Castro modifica escalação do Grêmio para encarar Vitória pelo Brasileiro
2026-09-08 05:19:55,Google Trends ID,,,https://www.bbc.com/sport/tennis/live/cpw98nkdw47t,Netral,0.0,Indonesia,elena rybakina,200+,"US Open 2026 LIVE: Naomi Osaka vs Elena Rybakina - scores, radio & live text updates"
2026-09-08 05:19:55,Google Trends ID,,,https://www.detik.com/jatim/berita/d-8652480/waktu-sholat-surabaya-hari-ini-subuh-hingga-isya-lengkap-niat,Netral,0.0,Indonesia,jadwal sholat surabaya,100+,Waktu Sholat Surabaya Hari Ini Subuh hingga Isya Lengkap Niat
2026-09-08 05:19:55,Google Trends ID,,,https://www.bbc.com/sport/football/live/cmp8dldk8n76t,Netral,0.0,Indonesia,estoril vs arouca,200+,Estoril vs Arouca: Portuguese Primeira Liga stats & head-to-head
2026-09-08 05:19:55,Google Trends ID,,,https://www.gsmarena.com/leaked_video_shows_iphone_18_pro_max_in_dark_cherry_and_18_pro_in_blue-news-74493.php,Netral,0.0,Indonesia,iphone 18 pro,500+,Leaked video shows iPhone 18 Pro Max in Dark Cherry and 18 Pro in Blue - GSMArena.com news
